HSK级别,题型,题型编码,资源ID,知识点,题目属性,声音编号,原文,拼音,译文,图片,译文多国语ID,目录ID,难度,,,,,,
HSK3,识图理解,T01_PICTURE_FILL_IN,B0100003,兴趣,正确选项,,兴趣,xìngqù,,,,H000001,,,,,,,
HSK3,识图理解,T01_PICTURE_FILL_IN,B0100003,兴趣,干扰项,,坚持,jiānchí,,,,H000001,,,,,,,
HSK3,识图理解,T01_PICTURE_FILL_IN,B0100003,兴趣,干扰项,,方法,fāngfǎ,,,,H000001,,,,,,,
HSK3,识图理解,T01_PICTURE_FILL_IN,B0100003,兴趣,干扰项,,水平,shuǐpíng,,,,H000001,,,,,,,
HSK3,识图理解,T01_PICTURE_FILL_IN,B0100003,兴趣,解析,,"兴趣(xìngqù)表示""interest""，指对某事物的喜好和关注。",,"兴趣 (xìngqù) means ""interest""",,A000019,H000001,,,,,,,
HSK3,识图理解,T02_PICTURE_SELECT_TEXT,B0200002,照相,标题,,"
选择正确的意思",,,,,H000001,,,,,,,
HSK3,识图理解,T02_PICTURE_SELECT_TEXT,B0200002,照相,题干,,照相,zhàoxiàng,,TU-100008.png,,H000001,,,,,,,
HSK3,识图理解,T02_PICTURE_SELECT_TEXT,B0200002,照相,正确选项,,,,Take photos,,A000020,H000001,,,,,,,
HSK3,识图理解,T02_PICTURE_SELECT_TEXT,B0200002,照相,干扰项,,,,Study,,A000021,H000001,,,,,,,
HSK3,识图理解,T02_PICTURE_SELECT_TEXT,B0200002,照相,干扰项,,,,Rest,,A000022,H000001,,,,,,,
HSK3,识图理解,T02_PICTURE_SELECT_TEXT,B0200002,照相,干扰项,,,,Exercise,,A000023,H000001,,,,,,,
HSK3,识图理解,T02_PICTURE_SELECT_TEXT,B0200002,照相,解析,,"照相(zhàoxiàng)的英文是""Take photos""。",,"照相 (zhàoxiàng) means ""Take photos"" in English.",,A000024,H000001,,,,,,,
HSK3,翻译理解,T04_WORD_MEANING_SELECT,B0500002,邮箱,标题,,根据英文，选择正确的图片和汉字,,,,,H000001,,,,,,,
HSK3,翻译理解,T04_WORD_MEANING_SELECT,B0500002,邮箱,题干,,,,Email,,A000025,H000001,,,,,,,
HSK3,翻译理解,T04_WORD_MEANING_SELECT,B0500002,邮箱,正确选项,,邮箱,yóuxiāng,,TU-100009.png,,H000001,,,,,,,
HSK3,翻译理解,T04_WORD_MEANING_SELECT,B0500002,邮箱,干扰项,,电话,diànhuà,,TU-100011.png,,H000001,,,,,,,
HSK3,翻译理解,T04_WORD_MEANING_SELECT,B0500002,邮箱,干扰项,,地址,dìzhǐ,,TU-100010.png,,H000001,,,,,,,
HSK3,翻译理解,T04_WORD_MEANING_SELECT,B0500002,邮箱,干扰项,,姓名,xìngmíng,,TU-100012.png,,H000001,,,,,,,
HSK3,翻译理解,T04_WORD_MEANING_SELECT,B0500002,邮箱,解析,,"Email的中文是""邮件""(yóujiàn)，指电子邮件。",,"Email in Chinese is ""邮件"" (yóujiàn).",,A000026,H000001,,,,,,,
HSK3,翻译理解,T05_GRAMMAR_SELECT,B0600003,兴趣是最好的老师,标题,,"
选择正确的中文翻译",,,,,H000001,,,,,,,
HSK3,翻译理解,T05_GRAMMAR_SELECT,B0600003,兴趣是最好的老师,题干,,,,Interest is the best teacher.,,A000027,H000001,,,,,,,
HSK3,翻译理解,T05_GRAMMAR_SELECT,B0600003,兴趣是最好的老师,正确选项,,兴趣是最好的老师。,Xìngqù shì zuì hǎo de lǎoshī.,,,,H000001,,,,,,,
HSK3,翻译理解,T05_GRAMMAR_SELECT,B0600003,兴趣是最好的老师,干扰项,,学习是最重要的。,Xuéxí shì zuì zhòngyào de.,,,,H000001,,,,,,,
HSK3,翻译理解,T05_GRAMMAR_SELECT,B0600003,兴趣是最好的老师,干扰项,,老师是最好的。,Lǎoshī shì zuì hǎo de.,,,,H000001,,,,,,,
HSK3,翻译理解,T05_GRAMMAR_SELECT,B0600003,兴趣是最好的老师,干扰项,,方法是最重要的。,Fāngfǎ shì zuì zhòngyào de.,,,,H000001,,,,,,,
HSK3,翻译理解,T05_GRAMMAR_SELECT,B0600003,兴趣是最好的老师,解析,,"Interest is the best teacher直译为""兴趣是最好的老师"".",,"""Interest is the best teacher"" directly translates to ""兴趣是最好的老师"".",,A000028,H000001,,,,,,,
HSK4,听力理解,T00_LISTEN_SELECT_IMAGE,B0400004,笔记,标题,,听音频，选择正确图片,,,,,H000001,,,,,,,
HSK4,听力理解,T00_LISTEN_SELECT_IMAGE,B0400004,笔记,题干,H100006.mp3,,,,,,H000001,,,,,,,
HSK4,听力理解,T00_LISTEN_SELECT_IMAGE,B0400004,笔记,正确选项,,,,,TU-100022.png,,H000001,,,,,,,
HSK4,听力理解,T00_LISTEN_SELECT_IMAGE,B0400004,笔记,干扰项,,,,,TU-100023.png,,H000001,,,,,,,
HSK4,听力理解,T00_LISTEN_SELECT_IMAGE,B0400004,笔记,干扰项,,,,,TU-100025.png,,H000001,,,,,,,
HSK4,听力理解,T00_LISTEN_SELECT_IMAGE,B0400004,笔记,干扰项,,,,,TU-100024.png,,H000001,,,,,,,
HSK4,听力理解,T00_LISTEN_SELECT_IMAGE,B0400004,笔记,解析,,"音频播放""课堂笔记""(kètáng bǐjì)，指上课时记录的笔记。",,"The audio says ""课堂笔记"" (kètáng bǐjì), meaning notes taken in class.",,A000029,H000001,,,,,,,
HSK4,识图理解,T01_PICTURE_FILL_IN,B0100004,经验,标题,,看图片，选择正确汉字,,,,,H000001,,,,,,,
HSK4,识图理解,T01_PICTURE_FILL_IN,B0100004,经验,题干,,,,,TU-100026.png,,H000001,,,,,,,
HSK4,识图理解,T01_PICTURE_FILL_IN,B0100004,经验,正确选项,,经验,jīngyàn,,,,H000001,,,,,,,
HSK4,识图理解,T01_PICTURE_FILL_IN,B0100004,经验,干扰项,,基础,jīchǔ,,,,H000001,,,,,,,
HSK4,识图理解,T01_PICTURE_FILL_IN,B0100004,经验,干扰项,,内容,nèiróng,,,,H000001,,,,,,,
HSK4,识图理解,T01_PICTURE_FILL_IN,B0100004,经验,干扰项,,重点,zhòngdiǎn,,,,H000001,,,,,,,
HSK4,识图理解,T01_PICTURE_FILL_IN,B0100004,经验,解析,,"经验(jīngyàn)表示""experience""，指通过实践获得的知识和技能。",,"经验 (jīngyàn) means ""experience""",,A000030,H000001,,,,,,,
HSK4,识图理解,T02_PICTURE_SELECT_TEXT,B0200003,市场部,标题,,"
选择正确的意思",,,,,H000001,,,,,,,
HSK4,识图理解,T02_PICTURE_SELECT_TEXT,B0200003,市场部,题干,,市场部,shìchǎngbù,,TU-100027.png,,H000001,,,,,,,
HSK4,识图理解,T02_PICTURE_SELECT_TEXT,B0200003,市场部,正确选项,,,,Marketing Dept.,,A000031,H000001,,,,,,,
HSK4,识图理解,T02_PICTURE_SELECT_TEXT,B0200003,市场部,干扰项,,,,Management Dept.,,A000032,H000001,,,,,,,
HSK4,识图理解,T02_PICTURE_SELECT_TEXT,B0200003,市场部,干扰项,,,,Information Dept.,,A000033,H000001,,,,,,,
HSK4,识图理解,T02_PICTURE_SELECT_TEXT,B0200003,市场部,干扰项,,,,Advertising Dept.,,A000034,H000001,,,,,,,
HSK4,识图理解,T02_PICTURE_SELECT_TEXT,B0200003,市场部,解析,,市场部(shìchǎngbù)是Marketing Department。,,市场部 (shìchǎngbù) is Marketing Department.,,A000035,H000001,,,,,,,
HSK4,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300003,记课堂笔记有很多好处,标题,,听音频，选择你听到的句子,,,,,H000001,,,,,,,
HSK4,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300003,记课堂笔记有很多好处,题干,H100007.mp3,,,,,,H000001,,,,,,,
HSK4,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300003,记课堂笔记有很多好处,正确选项,,记课堂笔记有很多好处。,Jì kètáng bǐjì yǒu hěn duō hǎochu.,,,,H000001,,,,,,,
HSK4,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300003,记课堂笔记有很多好处,干扰项,,记课堂笔记很难。,Jì kètáng bǐjì hěn nán.,,,,H000001,,,,,,,
HSK4,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300003,记课堂笔记有很多好处,干扰项,,课堂笔记不重要。,Kètáng bǐjì bù zhòngyào.,,,,H000001,,,,,,,
HSK4,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300003,记课堂笔记有很多好处,干扰项,,我不喜欢记笔记。,Wǒ bù xǐhuan jì bǐjì.,,,,H000001,,,,,,,
HSK4,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300003,记课堂笔记有很多好处,解析,,"音频说""记课堂笔记有很多好处""，强调笔记的益处。",,"The audio says ""记课堂笔记有很多好处"", emphasizing the benefits of note-taking.",,A000036,H000001,,,,,,,
HSK4,翻译理解,T05_GRAMMAR_SELECT,B0600004,他让小谢去市场部积累经验,标题,,"
选择正确的中文翻译",,,,,H000001,,,,,,,
HSK4,翻译理解,T05_GRAMMAR_SELECT,B0600004,他让小谢去市场部积累经验,题干,,,,He asked Xiao Xie to go to the marketing department to gain experience.,,A000037,H000001,,,,,,,
HSK4,翻译理解,T05_GRAMMAR_SELECT,B0600004,他让小谢去市场部积累经验,正确选项,,他让小谢去市场部积累经验。,Tā ràng Xiǎo Xiè qù shìchǎngbù jīlěi jīngyàn.,,,,H000001,,,,,,,
HSK4,翻译理解,T05_GRAMMAR_SELECT,B0600004,他让小谢去市场部积累经验,干扰项,,他让小谢去管理部。,Tā ràng Xiǎo Xiè qù guǎnlǐbù.,,,,H000001,,,,,,,
HSK4,翻译理解,T05_GRAMMAR_SELECT,B0600004,他让小谢去市场部积累经验,干扰项,,他让小谢去信息部。,Tā ràng Xiǎo Xiè qù xìnxībù.,,,,H000001,,,,,,,
HSK4,翻译理解,T05_GRAMMAR_SELECT,B0600004,他让小谢去市场部积累经验,干扰项,,他让小谢去广告部。,Tā ràng Xiǎo Xiè qù guǎnggàobù.,,,,H000001,,,,,,,
HSK4,翻译理解,T05_GRAMMAR_SELECT,B0600004,他让小谢去市场部积累经验,解析,,英文句意是让小谢去市场部积累经验。,,The English means asking Xiao Xie to go to the marketing department to gain experience.,,A000038,H000001,,,,,,,
HSK5,听力理解,T00_LISTEN_SELECT_IMAGE,B0400005,电动自行车,标题,,听音频，选择正确图片,,,,,H000001,,,,,,,
HSK5,听力理解,T00_LISTEN_SELECT_IMAGE,B0400005,电动自行车,题干,H100008.mp3,,,,,,H000001,,,,,,,
HSK5,听力理解,T00_LISTEN_SELECT_IMAGE,B0400005,电动自行车,正确选项,,,,,TU-100020.png,,H000001,,,,,,,
HSK5,听力理解,T00_LISTEN_SELECT_IMAGE,B0400005,电动自行车,干扰项,,,,,TU-100019.png,,H000001,,,,,,,
HSK5,听力理解,T00_LISTEN_SELECT_IMAGE,B0400005,电动自行车,干扰项,,,,,TU-100017.png,,H000001,,,,,,,
HSK5,听力理解,T00_LISTEN_SELECT_IMAGE,B0400005,电动自行车,干扰项,,,,,TU-100018.png,,H000001,,,,,,,
HSK5,听力理解,T00_LISTEN_SELECT_IMAGE,B0400005,电动自行车,解析,,"音频播放""电动自行车""(diàndòng zìxíngchē)，指电瓶车。",,"The audio says ""电动自行车"" (diàndòng zìxíngchē), meaning electric bicycle/e-bike.",,A000039,H000001,,,,,,,
HSK5,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300004,满足,标题,,听音频，选择你听到的句子,,,,,H000001,,,,,,,
HSK5,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300004,满足,题干,H100009.mp3,,,,,,H000001,,,,,,,
HSK5,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300004,满足,正确选项,,客户对我们的服务非常满意，需求得到了充分满足。,"Kèhù duì wǒmen de fúwù fēicháng mǎnyì, xūqiú dédào le chōngfèn mǎnzú.",,,,H000001,,,,,,,
HSK5,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300004,满足,干扰项,,客户对我们的服务很失望，因为需求没有被满足。,"Kèhù duì wǒmen de fúwù hěn shīwàng, yīnwèi xūqiú méiyǒu bèi mǎnzú.",,,,H000001,,,,,,,
HSK5,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300004,满足,干扰项,,我们的服务相当完善，已经达成所有目标。,"shíshīWǒmen de fúwù xiāngdāng wánshàn, yǐjīng dáchéng suǒyǒu mùbiāo.",,,,H000001,,,,,,,
HSK5,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300004,满足,干扰项,,这个方案需要进一步实施才能满足客户需求。,dáchénZhège fāng’àn xūyào jìnyíbù shíshī cáinéng mǎnzú kèhù xūqiú.,,,,H000001,,,,,,,
HSK5,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300004,满足,解析,,音频中明确提到‘需求得到了充分满足’。‘满足’(mǎnzú) 表示‘meet/satisfy (needs)’，是 HSK5 核心动词。,,"The audio explicitly states, “The needs have been fully satisfied” . The word “满足” (mǎnzú) means “to meet/satisfy (needs)” and is a core HSK Level 5 verb.",,A000040,H000001,,,,,,,
HSK5,识图理解,T02_PICTURE_SELECT_TEXT,B0200004,位置,标题,,"
选择正确的意思",,,,,H000001,,,,,,,
HSK5,识图理解,T02_PICTURE_SELECT_TEXT,B0200004,位置,题干,,位置,wèizhi,,TU-100021.png,,H000001,,,,,,,
HSK5,识图理解,T02_PICTURE_SELECT_TEXT,B0200004,位置,正确选项,,,,Location,,A000041,H000001,,,,,,,
HSK5,识图理解,T02_PICTURE_SELECT_TEXT,B0200004,位置,干扰项,,,,Direction,,A000042,H000001,,,,,,,
HSK5,识图理解,T02_PICTURE_SELECT_TEXT,B0200004,位置,干扰项,,,,Distance,,A000043,H000001,,,,,,,
HSK5,识图理解,T02_PICTURE_SELECT_TEXT,B0200004,位置,干扰项,,,,Ground,,A000044,H000001,,,,,,,
HSK5,识图理解,T02_PICTURE_SELECT_TEXT,B0200004,位置,解析,,位置’(wèizhi) 指某人或某物所在的地方，英文对应 ‘Location’，这个词语属于 HSK5 官方词汇。,,"“位置” (wèizhi) refers to the place where someone or something is located. Its English equivalent is “location,” . This word is part of the official HSK Level 5 vocabulary.",,A000045,H000001,,,,,,,
HSK5,翻译理解,T04_WORD_MEANING_SELECT,B0500003,广泛,标题,,根据英文，选择正确的图片和汉字,,,,,H000001,,,,,,,
HSK5,翻译理解,T04_WORD_MEANING_SELECT,B0500003,广泛,题干,,,,Extensive/Wide,,A000046,H000001,,,,,,,
HSK5,翻译理解,T04_WORD_MEANING_SELECT,B0500003,广泛,正确选项,,广泛,guǎngfàn,,TU-100029.png,,H000001,,,,,,,
HSK5,翻译理解,T04_WORD_MEANING_SELECT,B0500003,广泛,干扰项,,实用,shíyòng,,TU-100030.png,,H000001,,,,,,,
HSK5,翻译理解,T04_WORD_MEANING_SELECT,B0500003,广泛,干扰项,,高档,gāodàng,,TU-100031.png,,H000001,,,,,,,
HSK5,翻译理解,T04_WORD_MEANING_SELECT,B0500003,广泛,干扰项,,有利,yǒulì,,TU-100028.png,,H000001,,,,,,,
